Age,Monthly_Income,Num_Dependents,Loan_Tenure,Interest_Rate,Outstanding_Loan_Amount,Collection_Attempts,EMI_to_Income_Ratio,Collateral_Coverage,Default_Severity,Borrower_Segment,Segment_Name,High_Risk_Flag,Predicted_High_Risk,Predicted_Risk_Score,Recovery_Strategy
41,238224,3,36,15.86,129965.525042383,6,0.015154434481832225,1.4775899603450426,111,3,"Secured, Moderate Risk Borrowers",0,,,
64,249614,0,72,7.9,680411.848349498,1,0.03785909444181817,0.5811642244637124,0,1,"Affluent, Low Risk Borrowers",0,,,
29,24847,0,72,7.58,319736.833396768,7,0.17872539944460095,1.3532424691971177,0,3,"Secured, Moderate Risk Borrowers",0,,,
42,133154,3,24,8.82,703320.021155911,3,0.2200835123240759,0.6715963670651904,513,2,"High Income, High Default Risk Borrowers",1,,,
44,211133,2,12,17.02,541900.377300077,3,0.2138858444677052,1.0535585326623618,680,2,"High Income, High Default Risk Borrowers",1,,,
59,139457,3,36,9.57,533824.211449443,3,0.10632990814372889,0.9725154428195882,152,3,"Secured, Moderate Risk Borrowers",0,,,
63,140818,2,36,12.23,224973.921257009,2,0.044378417531849616,0.6322879476510366,56,1,"Affluent, Low Risk Borrowers",0,,,
42,173670,3,60,17.26,198635.325894906,2,0.019062532389013648,0.6718765121359237,176,3,"Secured, Moderate Risk Borrowers",0,,,
39,246804,0,60,13.46,1248200.80993899,8,0.0842909758350756,0.0,118,1,"Affluent, Low Risk Borrowers",0,,,
26,237500,2,60,8.83,1101165.30059316,3,0.07727477894736841,0.8764149625206956,240,3,"Secured, Moderate Risk Borrowers",0,,,
54,28669,3,12,7.94,955922.919984545,0,2.7786194146988037,0.732636638386774,100,0,"Low Income, High EMI Burden Borrowers",1,,,
37,182523,0,36,12.19,1246469.32035868,8,0.18969746278551197,1.1191680442430598,336,2,"High Income, High Default Risk Borrowers",1,,,
32,103733,0,48,12.7,386853.452583399,1,0.07769417639516836,0.6149063433619112,1305,2,"High Income, High Default Risk Borrowers",1,,,
47,94530,1,36,10.92,1297293.68194425,0,0.3812116788321168,0.896755056455532,0,0,"Low Income, High EMI Burden Borrowers",1,,,
50,246055,3,48,6.96,417774.868794357,2,0.03537274186665583,0.81404380691843,103,3,"Secured, Moderate Risk Borrowers",0,,,
55,230400,2,60,5.18,902911.403569325,2,0.06531475694444444,1.4857682495857434,142,3,"Secured, Moderate Risk Borrowers",0,,,
42,34816,3,48,9.56,1561797.4177508,1,0.9345545151654412,0.0,100,0,"Low Income, High EMI Burden Borrowers",1,,,
39,79674,0,12,9.76,416121.380852301,0,0.4352333258026458,0.0,0,0,"Low Income, High EMI Burden Borrowers",1,,,
54,232029,2,24,6.66,216178.4956434,3,0.03882031987380888,0.0,128,1,"Affluent, Low Risk Borrowers",0,,,
